county,indicator,Unit,Date,Value
North Eastern,Child mortality rate,,2008,24
North Eastern,Child mortality rate,,2014,8
North Eastern,Child mortality rate,,2022,5
North Eastern,Infant mortality rate,,2003,91
North Eastern,Infant mortality rate,,2008,57
North Eastern,Infant mortality rate,,2014,37
North Eastern,Infant mortality rate,,2022,34
North Eastern,Postneonatal mortality rate,,2003,41
North Eastern,Postneonatal mortality rate,,2008,24
North Eastern,Postneonatal mortality rate,,2014,13
North Eastern,Postneonatal mortality rate,,2022,8
North Eastern,Neonatal mortality rate,,2003,50
North Eastern,Neonatal mortality rate,,2008,33
North Eastern,Neonatal mortality rate,,2014,24
North Eastern,Neonatal mortality rate,,2022,26
Garissa,Under-five mortality rate,,2014,67
Garissa,Under-five mortality rate,,2022,44
Garissa,Child mortality rate,,2014,11
Garissa,Child mortality rate,,2022,3
Garissa,Infant mortality rate,,2014,57
Garissa,Infant mortality rate,,2022,41
Garissa,Postneonatal mortality rate,,2014,19
Garissa,Postneonatal mortality rate,,2022,13
Garissa,Neonatal mortality rate,,2014,37
Garissa,Neonatal mortality rate,,2022,28
Mandera,Under-five mortality rate,,2014,25
Mandera,Under-five mortality rate,,2022,21
Mandera,Child mortality rate,,2014,6
Mandera,Child mortality rate,,2022,1
Mandera,Infant mortality rate,,2014,19
Mandera,Infant mortality rate,,2022,20
Mandera,Postneonatal mortality rate,,2014,9
Mandera,Postneonatal mortality rate,,2022,4
Mandera,Neonatal mortality rate,,2014,9
Mandera,Neonatal mortality rate,,2022,16
Wajir,Under-five mortality rate,,2014,35
Wajir,Under-five mortality rate,,2022,57
Wajir,Child mortality rate,,2014,6
Wajir,Child mortality rate,,2022,15
Wajir,Infant mortality rate,,2014,30
Wajir,Infant mortality rate,,2022,43
Wajir,Postneonatal mortality rate,,2014,8
Wajir,Postneonatal mortality rate,,2022,6
Wajir,Neonatal mortality rate,,2014,21
Wajir,Neonatal mortality rate,,2022,37
Nyanza,Under-five mortality rate,,1989,149
Nyanza,Under-five mortality rate,,1993,187
Nyanza,Under-five mortality rate,,1998,199
Nyanza,Under-five mortality rate,,2003,206
Nyanza,Under-five mortality rate,,2008,149
